,Name,E,Q,Sprint,Glider,Chest,LowHP,AllyLowHP,LightHit,HeavyHit,Fallen,Joining
0,Albedo,"Elemental Skill
Burst forth.

Come into being!

Live.","Elemental Burst
Moment of birth.

Feel this ancient power.

Witness my great undertaking.",,,"Opening Treasure Chest
This world holds many a rare treasure.

If this treasure could talk...

Although it's not gold, it certainly glitters.","Low HP
My calculations were off...

Time to reassess...

A new strategy's required.",,"Light Hit Taken
Still within my threshold.","Heavy Hit Taken
A miscalculation...","Fallen
Ashes to ashes, dust to dust...

My... experiment... failed...

Seems my research... is over...","Joining Party
Understood.

Some in-the-field research?

Let's investigate this further."
1,Aloy,"Elemental Skill
This'll pack a punch!

Got something for you!

Ever seen one of these?","Elemental Burst
You're stuck now!

This is a new one.

The hunt is on!",,"Deploying Wind Glider
Ha! This thing is fun!","Opening Treasure Chest
These things look like they could come in handy.

Let's see, that looks edible... and this looks useful.

Who put all these things here?","Low HP
This one's a fighter...

Come on, gotta find that weak spot...

I'm out of my depth...",,"Light Hit Taken
Ugh!

I got this.","Heavy Hit Taken
Argh!

Should've known this wouldn't be easy...","Fallen
I failed...

I'm down... I'm sorry...

Can't get up... It's over...","Joining Party
Where to this time?

I'm Aloy. Ready for the hunt.

Need help? I'm here."
2,Amber,"Elemental Skill
Get them!

Go go Baron Bunny!

♪Hmm~ hmm~ hmm~ hmm~ hmm~","Elemental Burst
No one escapes my sights!

Let it rain!

No escape!","Sprint Start
I'll race you there!

Betcha can't keep up with me!

Told you I'd win.

That's more like it!","Deploying Wind Glider
Get ready for the Gliding Champion of Mondstadt!

I won't let you down!","Opening Treasure Chest


Opening a chest is like unwrapping a gift!

Another target tracked down by Outrider Amber!

Wow, these will come in handy!","Low HP
I'll never surrender!

Ouch! Meanie...

*panting* Ugh... You'll... pay for that!",,"Light Hit Taken
Hey!","Heavy Hit Taken
Ugh, not so hard!

That's cheating!","Fallen
Tired...

Must keep... training...

You got me...","Joining Party
Leave it to me!

At the ready!

Outrider Amber, reporting!"
3,Arataki Itto,"Elemental Skill
Let's roll!

Haha! Bam!

Attaboy!","Elemental Burst
Oni, comin' through!

Who wants some of this!

It's SHOWTIME!!!","Sprint Start
Can't catch me!",,"Opening Treasure Chest
Alriiiight! New toys for the boys!

I'm on a roll, haha!

Hello, free money, goodbye working for a living.","Low HP
Never underestimate an oni!

I'm not losing! It's all... part of the plan...

It's just a scratch, I swear!",,"Light Hit Taken
You want some of this!?

Hah! Is that all you got!?","Heavy Hit Taken
Okay, that one hurt!

Hey! I wasn't ready!","Fallen
See you at the... rematch...

At least I'm going down... with style...

My boys... I've let you down...","Joining Party
Step aside! Itto's back in town!

I am the MAN!

And the crowd goes wild!!!"
4,Barbara,"Elemental Skill
I'll protect us!

Let's dance!

Let the show begin!","Elemental Burst
♪La la-la-la-la~

Ready, steady go!

Come on, we can do it!","Sprint Start
Go Barbara, go!

*Pant*... *Pant*... I'm fine!

Keep going...",,"Opening Treasure Chest
This is the kind of surprise I could sing about.

Oh, look at it sparkle!

Hmm hmm hmm♪ Things are going so smoothly today~","Low HP
Don't worry about me!

I can't stop now, they need me!

Gotta keep trying!",,"Light Hit Taken
Ouchie!","Heavy Hit Taken
Oh no!","Fallen
I feel... a little weak...

Why has everyone stopped singing?

Sister...","Joining Party
I'll take care of it.

Wish me luck!

We can do this!"
5,Beidou,"Elemental Skill
Back off!

Ha!

Back at ya!

Take this!

Hurrrh!","Elemental Burst
Power that ended Haishan!

Eyes on me!

To ashes!",,,"Opening Treasure Chest
Huh, where've you been hiding?

Nice, I'm starting to lose count!

The Mora the merrier. First round's on me!=","Low HP
It's not over!

Hah, I've still got some kick.

I never yield.",,"Light Hit Taken
Just a scratch.","Heavy Hit Taken
You haven't won yet.

Not bad.","Fallen
This isn't good...

Men... Fall... back...

Crew... Set sail for home...","Joining Party
Alright, let's go!

Come with me.

I trust you."
6,Bennett,"Elemental Skill
Hah!

Let's light it up!

Get outta here!

Haah!

Take cover!

Outta the way!","Elemental Burst
Everybody stand back!

I'm going in!

Teamwork is dreamwork!","Sprint Start
Adventure time!

Off we go!",,"Opening Treasure Chest
Now that's what I call treasure!

Even better than I imagined! It's my lucky day!

*chuckle* It's a miracle!","Low HP
Shoot, I can't afford any more bandages...

Don't worry. I got this.

I always bounce back, just watch me...",,"Light Hit Taken
Didn't see that coming.","Heavy Hit Taken
That's gonna hurt in the morning...

Why do they never miss?","Fallen
Benny's Adventure Team... I have failed you...

This is just my luck...

Couldn't break... the curse...","Joining Party
Y—You want me on your team?

I won't hold you back! ...Much.

Gonna be epic!"
7,Candace,"Elemental Skill
Yield!

Flee!

Do your worst!

Pin them down!

Hah, too easy!

You're exposed!","Elemental Burst
Hear my prayer!

Grant us your blessing!

We shall prevail!",,,"Opening Treasure Chest
These look... surprisingly useful.

What do you think? Anything catch your eye?

I hope you can find some use for these.","Low HP
No more mercy.

Remorseless. Hmph.

Leave... now...",,"Light Hit Taken
It's nothing.","Heavy Hit Taken
Impressive.

Just a graze.","Fallen
Need to... train harder...

I have failed... I'm sorry...

The shield... has broken...","Joining Party
What's wrong? Are you in danger?

Stay close.

I promise to keep you safe."
8,Chongyun,"Elemental Skill
A touch of frost!

Forth, my blade!

Swift and merciful!
One with my blade!","Elemental Burst
From whence you came!

Spirit blade, attack!

Submit for judgment!",,"Deploying Wind Glider
I ride on wind and cloud alike.","Opening Treasure Chest
Hmm, objects like this may prove useful when purging evil spirits.

It was worth the trouble!

Unexpected, but welcome.","Low HP
Barely a scratch.

I cannot underestimate my enemy.

Curb your fury!",,,"Heavy Hit Taken
But how!?","Fallen
After all that training...

The scourge of evil remains...

This spells the end of the exorcists...","Joining Party
Present.

My demon-expelling mantra is ready.

Time for some training?"
9,Collei,"Elemental Skill
Go!

Fly.","Elemental Burst
Cuilein-Anbar, help!

Try this on for size!

Just like we rehearsed!",,,"Opening Treasure Chest
It's important to replenish your supplies often when you're out in the wild.

Wow, this is so lucky.

Phew, glad there weren't any poisonous mushroom inside.","Low HP
I—I can keep going!

I've been through worse!

Uh... I'm hurt pretty bad...",,,"Heavy Hit Taken
How the...

D—Don't touch me!","Fallen
A Forest Ranger... forever.

No... not like this...

I knew... this day would come...","Joining Party
I'll ensure your safety.

Everything's ready
let's go!

Trainee Forest Ranger Collei
reporting!"
